"구분(1)",구분(2),구분(3),구분(4),2020,2021
"서울",음식물류 폐기물 분리배출,소계,소계,862232.1,835454.7
"부산",합계,소계,소계,1148394.2,786487.3
"부산",종량제방식 등 혼합배출,소계,소계,335144.3,341567.9
"부산",종량제방식 등 혼합배출,가연성,소계,303896.8,251571.6
"부산",종량제방식 등 혼합배출,가연성,폐지류,96493.1,79872.2
"부산",종량제방식 등 혼합배출,가연성,폐합성수지류,134077.9,106400.3
"부산",종량제방식 등 혼합배출,가연성,폐고무류,31030.3,489.2
"부산",종량제방식 등 혼합배출,가연성,폐섬유류,13117.6,32120.9
"부산",종량제방식 등 혼합배출,가연성,음식물류 폐기물,19872.6,25065.3
"부산",종량제방식 등 혼합배출,가연성,폐목재류,5986.6,5577.1
"부산",종량제방식 등 혼합배출,가연성,기타,3318.7,2046.6
"부산",종량제방식 등 혼합배출,불연성,소계,31247.5,89996.3
"부산",종량제방식 등 혼합배출,불연성,폐금속류,10421.9,5666.1
"부산",종량제방식 등 혼합배출,불연성,폐유리류,8238.5,5215.6
"부산",종량제방식 등 혼합배출,불연성,폐토사류,309.0,0.0
"부산",종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,0.0,0.0
"부산",종량제방식 등 혼합배출,불연성,연탄재,0.0,0.0
"부산",종량제방식 등 혼합배출,불연성,기타,12278.1,79114.6
"부산",종량제방식 등 혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),0.0,0.0
"부산",종량제방식 등 혼합배출,기타(배출불명등),소계,0.0,0.0
"부산",재활용 가능자원 분리배출,소계,소계,571235.6,232079.2
"부산",재활용 가능자원 분리배출,폐지류,종이팩,193.0,209.2
"부산",재활용 가능자원 분리배출,폐지류,기타,253673.8,84844.9
"부산",재활용 가능자원 분리배출,고철류,소계,39731.6,3262.3
"부산",재활용 가능자원 분리배출,금속캔,소계,34727.2,5405.5
"부산",재활용 가능자원 분리배출,폐합성수지류,비닐류,61042.9,26639.7
"부산",재활용 가능자원 분리배출,폐합성수지류,발포수지류,7588.3,3636.0
"부산",재활용 가능자원 분리배출,폐합성수지류,PET병,5408.1,4400.2
"부산",재활용 가능자원 분리배출,폐합성수지류,기타,80772.4,53981.0
"부산",재활용 가능자원 분리배출,폐고무류,소계,0.0,10.5
"부산",재활용 가능자원 분리배출,폐유리병류,소계,21096.4,25364.2
"부산",재활용 가능자원 분리배출,폐의류,소계,9854.5,8482.7
"부산",재활용 가능자원 분리배출,폐섬유류,소계,0.0,0.0
"부산",재활용 가능자원 분리배출,조명폐기물,조명폐기물,396.6,350.8
"부산",재활용 가능자원 분리배출,폐전지류,소계,249.5,307.2
"부산",재활용 가능자원 분리배출,영농폐기물,농약용기류,5.2,10.6
"부산",재활용 가능자원 분리배출,영농폐기물,폐비닐,234.2,283.3
"부산",재활용 가능자원 분리배출,폐식용유,소계,0.0,0.0
"부산",재활용 가능자원 분리배출,폐전기전자제품,소계,10953.2,11092.3
"부산",재활용 가능자원 분리배출,폐가구류,소계,0.0,0.0
"부산",재활용 가능자원 분리배출,기타,소계,4253.1,23.8
"부산",재활용 가능자원 분리배출,재활용 잔재물,소계,41055.6,3775.0
"부산",음식물류 폐기물 분리배출,소계,소계,242014.3,212840.2
"대구",합계,소계,소계,938049.8,796937.9
"대구",종량제방식 등 혼합배출,소계,소계,442825.6,439318.3
"대구",종량제방식 등 혼합배출,가연성,소계,336358.4,339127.7
"대구",종량제방식 등 혼합배출,가연성,폐지류,78412.2,75899.8
"대구",종량제방식 등 혼합배출,가연성,폐합성수지류,70208.7,68632.6
"대구",종량제방식 등 혼합배출,가연성,폐고무류,2448.8,2298.2
"대구",종량제방식 등 혼합배출,가연성,폐섬유류,14466.5,16528.1
"대구",종량제방식 등 혼합배출,가연성,음식물류 폐기물,20727.4,23680.7
"대구",종량제방식 등 혼합배출,가연성,폐목재류,6314.2,6459.4
"대구",종량제방식 등 혼합배출,가연성,기타,143780.6,145628.9
"대구",종량제방식 등 혼합배출,불연성,소계,25426.5,25780.1
"대구",종량제방식 등 혼합배출,불연성,폐금속류,5643.9,5655.8
"대구",종량제방식 등 혼합배출,불연성,폐유리류,8034.7,7954.9
"대구",종량제방식 등 혼합배출,불연성,폐토사류,1119.8,1129.9
"대구",종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,606.4,692.8
"대구",종량제방식 등 혼합배출,불연성,연탄재,30.5,35.0
"대구",종량제방식 등 혼합배출,불연성,기타,9991.2,10311.7
"대구",종량제방식 등 혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),81040.7,74376.7
"대구",종량제방식 등 혼합배출,기타(배출불명등),소계,0.0,33.8
"대구",재활용 가능자원 분리배출,소계,소계,275334.8,136229.6
"대구",재활용 가능자원 분리배출,폐지류,종이팩,8100.0,112.3
"대구",재활용 가능자원 분리배출,폐지류,기타,58553.8,24834.9
"대구",재활용 가능자원 분리배출,고철류,소계,19087.1,760.1
"대구",재활용 가능자원 분리배출,금속캔,소계,11163.4,1837.5
"대구",재활용 가능자원 분리배출,폐합성수지류,비닐류,22461.1,15679.3
"대구",재활용 가능자원 분리배출,폐합성수지류,발포수지류,3321.4,2052.1
"대구",재활용 가능자원 분리배출,폐합성수지류,PET병,20979.6,10605.1
"대구",재활용 가능자원 분리배출,폐합성수지류,기타,15824.6,11644.3
"대구",재활용 가능자원 분리배출,폐고무류,소계,3.8,0.4
"대구",재활용 가능자원 분리배출,폐유리병류,소계,29065.6,14913.0
"대구",재활용 가능자원 분리배출,폐의류,소계,5873.0,2457.3
"대구",재활용 가능자원 분리배출,폐섬유류,소계,7358.4,40.0
"대구",재활용 가능자원 분리배출,조명폐기물,조명폐기물,195.4,336.6
"대구",재활용 가능자원 분리배출,폐전지류,소계,357.6,229.0
